DATEn	ENTRIESn_hourly	meanwindspdi	weekday	binarywind	prediction_0	prediction_1	prediction_2
2011-05-01	534.7241145950824	5.0	6	0	604.920118651079	920.1325304511315	595.9555394584711
2011-05-02	1187.6575832030378	5.0	0	0	1082.2864832380742	920.1325304511315	1020.4026508248526
2011-05-03	1319.2516376778858	7.0	1	1	1307.094008452278	1287.09773697519	1360.8613084616927
2011-05-04	1315.695897204689	6.0	2	1	1335.9513330900304	1223.0020189833508	1337.8593743858607
2011-05-05	1308.2820399113082	9.0	3	1	1305.1815380360013	1259.030663299694	1380.3247207986021
2011-05-06	1346.3929719797886	6.0	4	1	1333.7226027453632	1223.0020189833508	1370.4961897492183
2011-05-07	817.3435980551053	6.0	5	1	809.9769943007911	1223.0020189833508	856.6767216387989
2011-05-08	623.7401812688822	5.0	6	0	604.920118651079	920.1325304511315	595.9555394584711
2011-05-09	1203.3889264010804	7.0	0	1	1082.2864832380742	1287.09773697519	1132.3342926113837
2011-05-10	1308.4496370235934	6.0	1	1	1307.094008452278	1223.0020189833508	1331.4030628587018
2011-05-11	1348.9510297482836	6.0	2	1	1335.9513330900304	1223.0020189833508	1337.8593743858607
2011-05-12	1311.8696424605819	5.0	3	0	1305.1815380360013	920.1325304511315	1265.2502073615808
2011-05-13	1350.6369500115181	3.0	4	0	1333.7226027453632	1093.3447469341002	1348.950499100716
2011-05-14	819.5836422613531	5.0	5	0	809.9769943007911	920.1325304511315	774.2033254552584
2011-05-15	619.7567505192707	4.0	6	0	604.920118651079	1084.424677462437	641.0164799050078
2011-05-16	1208.266191853995	9.0	0	1	1082.2864832380742	1259.030663299694	1135.477164261874
2011-05-17	1285.0951949229375	12.0	1	1	1307.094008452278	1281.6922104415758	1286.5158270718866
2011-05-18	1337.4443684450525	7.0	2	1	1335.9513330900304	1287.09773697519	1367.3176199888517
2011-05-19	1290.5785032200756	4.0	3	0	1305.1815380360013	1084.424677462437	1310.3111478081175
2011-05-20	1327.2247937671862	1.0	4	0	1333.7226027453632	1322.4018965919693	1327.5072736988286
2011-05-21	834.2049218031278	3.0	5	0	809.9769943007911	1093.3447469341002	835.1310309902965
2011-05-22	619.9165145985402	5.0	6	0	604.920118651079	920.1325304511315	595.9555394584711
2011-05-23	1200.274838133512	6.0	0	1	1082.2864832380742	1223.0020189833508	1102.876047008393
2011-05-24	1315.5798068077277	5.0	1	0	1307.094008452278	920.1325304511315	1248.9296666751613
2011-05-25	1341.714349977508	4.0	2	0	1335.9513330900304	1084.424677462437	1300.446918648857
2011-05-26	1309.9962045099353	5.0	3	0	1305.1815380360013	920.1325304511315	1265.2502073615808
2011-05-27	1310.6360028017746	5.0	4	0	1333.7226027453632	920.1325304511315	1288.0227935656778
2011-05-28	768.7748450768878	5.0	5	0	809.9769943007911	920.1325304511315	774.2033254552584
2011-05-29	626.4629544408651	5.0	6	0	604.920118651079	920.1325304511315	595.9555394584711
2011-05-30	611.8448275862069	5.0	0	0	1082.2864832380742	920.1325304511315	1020.4026508248526
